## Groundwater Waterlevel Information
##
## Recorded on              December 25, 2023
##
site_id	site_no	agency_cd	coop_site_no	cdwr_id	lev_va	lev_acy_cd	lev_dtm	lev_dt	lev_tm	lev_tz_cd	lev_dt_acy_cd	lev_str_dt	lev_status_cd	lev_meth_cd	lev_agency_cd	lev_src_cd	lev_web_cd
413640121124301	413640121124301	USGS			292.38	2	2000-07-14 17:50 UTC	2000-07-14	09:50	PST	m	2000-07-14 09:50		V	USGS	S	Y
413640121124301	413640121124301	USGS			308.73	2	2001-04-04 23:58 UTC	2001-04-04	15:58	PST	m	2001-04-04 15:58		V	USGS	S	Y
413640121124301	413640121124301	USGS			313.90	2	2001-07-17 23:08 UTC	2001-07-17	15:08	PST	m	2001-07-17 15:08		V	USGS	S	Y
413640121124301	413640121124301	USGS			317.70	2	2001-10-23 15:55 UTC	2001-10-23	07:55	PST	m	2001-10-23 07:55		V	USGS	S	Y
413640121124301	413640121124301	USGS			318.40	2	2002-01-08 17:51 UTC	2002-01-08	09:51	PST	m	2002-01-08 09:51		V	USGS	S	Y
413640121124301	413640121124301	USGS			317.92	2	2002-04-02 17:06 UTC	2002-04-02	09:06	PST	m	2002-04-02 09:06		V	USGS	S	Y
413640121124301	413640121124301	USGS			320.96	2	2002-07-09 16:09 UTC	2002-07-09	08:09	PST	m	2002-07-09 08:09		V	USGS	S	Y
413640121124301	413640121124301	USGS			323.84	2	2002-10-08 16:31 UTC	2002-10-08	08:31	PST	m	2002-10-08 08:31		V	USGS	S	Y
413640121124301	413640121124301	USGS			323.41	2	2003-01-07 22:08 UTC	2003-01-07	14:08	PST	m	2003-01-07 14:08		V	USGS	S	Y
413640121124301	413640121124301	USGS			310.28	2	2003-04-15 22:03 UTC	2003-04-15	14:03	PST	m	2003-04-15 14:03		V	USGS	S	Y
413640121124301	413640121124301	USGS			306.66	2	2003-07-08 21:33 UTC	2003-07-08	13:33	PST	m	2003-07-08 13:33		V	USGS	S	Y
413640121124301	413640121124301	USGS			314.95	2	2003-10-16 21:22 UTC	2003-10-16	13:22	PST	m	2003-10-16 13:22		V	USGS	S	Y
413640121124301	413640121124301	USGS			322.44	2	2004-01-06 20:02 UTC	2004-01-06	12:02	PST	m	2004-01-06 12:02		V	USGS	S	Y
413640121124301	413640121124301	USGS			303.25	2	2004-04-27 21:06 UTC	2004-04-27	13:06	PST	m	2004-04-27 13:06		V	USGS	S	Y
413640121124301	413640121124301	USGS			307.47	2	2004-07-07 22:29 UTC	2004-07-07	14:29	PST	m	2004-07-07 14:29		V	USGS	S	Y
413640121124301	413640121124301	USGS			318.11	2	2004-10-13 21:33 UTC	2004-10-13	13:33	PST	m	2004-10-13 13:33		V	USGS	S	Y
413640121124301	413640121124301	USGS			323.33	2	2005-01-04 20:26 UTC	2005-01-04	12:26	PST	m	2005-01-04 12:26		V	USGS	S	Y
413640121124301	413640121124301	USGS			317.82	2	2005-03-29 17:54 UTC	2005-03-29	09:54	PST	m	2005-03-29 09:54		V	USGS	S	Y
413640121124301	413640121124301	USGS			313.27	2	2005-07-12 18:02 UTC	2005-07-12	10:02	PST	m	2005-07-12 10:02		V	USGS	S	Y
413640121124301	413640121124301	USGS			319.02	2	2005-10-04 18:15 UTC	2005-10-04	10:15	PST	m	2005-10-04 10:15		V	USGS	S	Y
413640121124301	413640121124301	USGS			307.85	2	2006-01-10 19:14 UTC	2006-01-10	11:14	PST	m	2006-01-10 11:14		V	USGS	S	Y
413640121124301	413640121124301	USGS			288.40	2	2006-04-04 16:38 UTC	2006-04-04	08:38	PST	m	2006-04-04 08:38		V	USGS	S	Y
413640121124301	413640121124301	USGS			283.60	2	2006-07-11 18:06 UTC	2006-07-11	10:06	PST	m	2006-07-11 10:06		V	USGS	S	Y
413640121124301	413640121124301	USGS			289.29	2	2006-10-17 17:43 UTC	2006-10-17	09:43	PST	m	2006-10-17 09:43		V	USGS	S	Y
413640121124301	413640121124301	USGS			297.60	2	2007-01-09 18:37 UTC	2007-01-09	10:37	PST	m	2007-01-09 10:37		V	USGS	S	Y
413640121124301	413640121124301	USGS			305.45	2	2007-04-03 16:52 UTC	2007-04-03	08:52	PST	m	2007-04-03 08:52		V	USGS	S	Y
413640121124301	413640121124301	USGS			313.67	2	2007-07-10 17:49 UTC	2007-07-10	09:49	PST	m	2007-07-10 09:49		V	USGS	S	Y
413640121124301	413640121124301	USGS			319.27	2	2007-10-02 17:52 UTC	2007-10-02	09:52	PST	m	2007-10-02 09:52		V	USGS	S	Y
413640121124301	413640121124301	USGS			322.61	2	2008-01-08 19:27 UTC	2008-01-08	11:27	PST	m	2008-01-08 11:27		V	USGS	S	Y
413640121124301	413640121124301	USGS			312.67	2	2008-04-01 17:42 UTC	2008-04-01	09:42	PST	m	2008-04-01 09:42		V	USGS	S	Y
413640121124301	413640121124301	USGS			314.85	2	2008-07-08 18:11 UTC	2008-07-08	10:11	PST	m	2008-07-08 10:11		V	USGS	S	Y
413640121124301	413640121124301	USGS			320.93	2	2008-10-07 17:44 UTC	2008-10-07	09:44	PST	m	2008-10-07 09:44		V	USGS	S	Y
413640121124301	413640121124301	USGS			324.70	2	2009-01-06 18:28 UTC	2009-01-06	10:28	PST	m	2009-01-06 10:28		V	USGS	S	Y
413640121124301	413640121124301	USGS			321.48	2	2009-04-02 17:22 UTC	2009-04-02	09:22	PST	m	2009-04-02 09:22		V	USGS	S	Y
413640121124301	413640121124301	USGS			326.29	2	2009-07-08 17:56 UTC	2009-07-08	09:56	PST	m	2009-07-08 09:56		V	USGS	S	Y
413640121124301	413640121124301	USGS			328.87	2	2009-10-06 17:36 UTC	2009-10-06	09:36	PST	m	2009-10-06 09:36		V	USGS	S	Y
413640121124301	413640121124301	USGS			330.19	2	2010-01-12 18:39 UTC	2010-01-12	10:39	PST	m	2010-01-12 10:39		V	USGS	S	Y
413640121124301	413640121124301	USGS			329.95	2	2010-04-06 17:43 UTC	2010-04-06	09:43	PST	m	2010-04-06 09:43		V	USGS	S	Y
413640121124301	413640121124301	USGS			329.92	2	2010-07-14 18:15 UTC	2010-07-14	10:15	PST	m	2010-07-14 10:15		V	USGS	S	Y
413640121124301	413640121124301	USGS			330.68	2	2010-10-05 17:25 UTC	2010-10-05	09:25	PST	m	2010-10-05 09:25		V	USGS	S	Y
413640121124301	413640121124301	USGS			330.41	2	2011-01-11 18:48 UTC	2011-01-11	10:48	PST	m	2011-01-11 10:48		V	USGS	S	Y
413640121124301	413640121124301	USGS			308.35	2	2011-04-05 18:23 UTC	2011-04-05	10:23	PST	m	2011-04-05 10:23		V	USGS	S	Y
413640121124301	413640121124301	USGS			300.24	2	2011-07-14 19:38 UTC	2011-07-14	11:38	PST	m	2011-07-14 11:38		V	USGS	S	Y
413640121124301	413640121124301	USGS			306.92	2	2011-10-04 18:02 UTC	2011-10-04	10:02	PST	m	2011-10-04 10:02		V	USGS	S	Y
413640121124301	413640121124301	USGS			316.97	2	2012-01-10 18:50 UTC	2012-01-10	10:50	PST	m	2012-01-10 10:50		V	USGS	S	Y
413640121124301	413640121124301	USGS			322.52	2	2012-04-03 17:51 UTC	2012-04-03	09:51	PST	m	2012-04-03 09:51		V	USGS	S	Y
413640121124301	413640121124301	USGS			324.96	2	2012-07-06 18:07 UTC	2012-07-06	10:07	PST	m	2012-07-06 10:07		V	USGS	S	Y
413640121124301	413640121124301	USGS			327.95	2	2012-10-02 18:51 UTC	2012-10-02	10:51	PST	m	2012-10-02 10:51		V	USGS	S	Y
413640121124301	413640121124301	USGS			322.95	2	2013-01-08 20:06 UTC	2013-01-08	12:06	PST	m	2013-01-08 12:06		V	USGS	S	Y
413640121124301	413640121124301	USGS			309.65	2	2013-03-28 20:21 UTC	2013-03-28	12:21	PST	m	2013-03-28 12:21		V	USGS	S	Y
413640121124301	413640121124301	USGS			320.55	2	2013-07-09 21:48 UTC	2013-07-09	13:48	PST	m	2013-07-09 13:48		V	USGS	S	Y
413640121124301	413640121124301	USGS			328.35	2	2013-10-22 22:24 UTC	2013-10-22	14:24	PST	m	2013-10-22 14:24		V	USGS	S	Y
